COD_DPTO,COD_MUNIC,ANO,apgar_bajo_promedio,atenciones_per_nacimiento,consultas_per_nacimiento,consultas_promedio,defunciones_fetales,edad_materna_promedio,indice_fragilidad_sistema,num_instituciones,pct_area_rural,pct_bajo_nivel_educativo,pct_bajo_peso,pct_cesarea,pct_embarazo_multiple,pct_embarazos_alto_riesgo,pct_instituciones_publicas,pct_madres_adolescentes,pct_madres_edad_avanzada,pct_mortalidad_evitable,pct_prematuro,pct_regimen_subsidiado,pct_sin_control_prenatal,pct_sin_seguridad_social,presion_obstetrica,procedimientos_per_nacimiento,tasa_mortalidad_fetal,tasa_mortalidad_neonatal,total_defunciones,total_nacimientos,urgencias_per_nacimiento,edad_materna_categoria,tasa_mortalidad_fetal_categoria,tasa_mortalidad_neonatal_categoria,bajo_peso_categoria,prematuros_categoria,sin_prenatal_categoria,cesareas_categoria,madres_adolescentes_categoria,fragilidad_categoria,presion_obstetrica_categoria
50,226,2020,0.015625,500.0,0.34375,4.671875,1.0,25.515625,0.0,14,0.03125,0.8125,0.0,0.0,0.0,100.0,0.0714285714285714,0.15625,0.140625,100.0,1.0,0.59375,0.0625,0.0,4.571428571428571,0.296875,15.625,0.0,0.0,64,0.125,Adultas jóvenes (óptimo),🟡 Moderado,🟢 Normal (OMS: <5‰),🟢 Bajo,🟢 Bajo,🟢 Excelente cobertura,🟡 Bajo (riesgo de subutilización),🟢 Bajo,🟢 Sistema fuerte,🟢 Baja (buena capacidad)
50,226,2021,0.0208333333333333,500.0,0.4791666666666667,3.5869565217391304,1.0,25.4375,12.171001088056704,14,0.0416666666666666,0.8125,0.0208333333333333,0.0,0.0,95.83333333333334,0.0714285714285714,0.125,0.0416666666666666,100.0,0.9583333333333334,0.375,0.2291666666666666,0.0,3.4285714285714284,0.5,20.83333333333333,20.83333333333333,1.0,48,0.0208333333333333,Adultas jóvenes (óptimo),🟠 Alto,🔴 Crítico (>20‰),🟢 Bajo,🟢 Bajo,🟢 Excelente cobertura,🟡 Bajo (riesgo de subutilización),🟢 Bajo,🟢 Sistema fuerte,🟢 Baja (buena capacidad)
50,226,2022,0.0476190476190476,0.0,0.0,3.761904761904762,2.0,26.166666666666668,0.0,14,0.0714285714285714,0.8333333333333334,0.0238095238095238,0.0,0.0,97.61904761904762,0.0714285714285714,0.0714285714285714,0.0238095238095238,100.0,0.9761904761904762,0.4761904761904761,0.1666666666666666,0.0,3.0,0.0,47.61904761904761,0.0,0.0,42,0.0,Adultas jóvenes (óptimo),🟠 Alto,🟢 Normal (OMS: <5‰),🟢 Bajo,🟢 Bajo,🟢 Excelente cobertura,🟡 Bajo (riesgo de subutilización),🟢 Bajo,🟢 Sistema fuerte,🟢 Baja (buena capacidad)
50,226,2023,0.03125,0.0,0.0,4.75,1.0,25.75,0.0,14,0.03125,0.8125,0.125,0.0,0.0,100.0,0.0714285714285714,0.1875,0.125,100.0,1.0,0.625,0.0625,0.0,2.2857142857142856,0.0,31.25,0.0,0.0,32,0.0,Adultas jóvenes (óptimo),🟠 Alto,🟢 Normal (OMS: <5‰),🟢 Bajo,🟢 Bajo,🟢 Excelente cobertura,🟡 Bajo (riesgo de subutilización),🟢 Bajo,🟢 Sistema fuerte,🟢 Baja (buena capacidad)
50,226,2024,0.0,0.0,0.0,5.238095238095238,0.0,25.571428571428573,0.0,14,0.0,0.9523809523809524,0.0476190476190476,0.0,0.0,100.0,0.0714285714285714,0.0952380952380952,0.0476190476190476,0.0,1.0,0.6190476190476191,0.0476190476190476,0.0,1.5,0.0,0.0,0.0,0.0,21,0.0,Adultas jóvenes (óptimo),🟢 Bajo,🟢 Normal (OMS: <5‰),🟢 Bajo,🟢 Bajo,🟢 Excelente cobertura,🟡 Bajo (riesgo de subutilización),🟢 Bajo,🟢 Sistema fuerte,🟢 Baja (buena capacidad)
50,245,2020,0.125,500.0,0.0,5.0,2.0,26.375,0.0,1,0.375,0.875,0.0,0.0,0.0,87.5,1.0,0.125,0.0,100.0,0.875,0.75,0.125,0.0,8.0,1.125,250.0,0.0,0.0,8,0.0,Adultas jóvenes (óptimo),🔴 Crítico,🟢 Normal (OMS: <5‰),🟢 Bajo,🟢 Bajo,🟢 Excelente cobertura,🟡 Bajo (riesgo de subutilización),🟢 Bajo,🟢 Sistema fuerte,🟢 Baja (buena capacidad)
50,245,2021,0.0,0.0,0.0,6.75,0.0,29.0,0.0,1,0.2,1.0,0.2,0.0,0.0,80.0,1.0,0.2,0.2,0.0,0.8,1.0,0.2,0.0,5.0,0.0,0.0,0.0,0.0,5,0.0,Adultas jóvenes (óptimo),🟢 Bajo,🟢 Normal (OMS: <5‰),🟢 Bajo,🟢 Bajo,🟢 Excelente cobertura,🟡 Bajo (riesgo de subutilización),🟢 Bajo,🟢 Sistema fuerte,🟢 Baja (buena capacidad)
50,245,2022,0.0,0.0,0.0,3.333333333333333,1.0,23.666666666666668,0.0,1,0.0,1.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,100.0,1.0,1.0,0.0,0.0,3.0,0.0,333.3333333333333,0.0,0.0,3,0.0,Jóvenes (bajo riesgo),🔴 Crítico,🟢 Normal (OMS: <5‰),🟢 Bajo,🟢 Bajo,🟢 Excelente cobertura,🟡 Bajo (riesgo de subutilización),🟢 Bajo,🟢 Sistema fuerte,🟢 Baja (buena capacidad)
50,245,2023,0.0,0.0,0.0,3.6666666666666665,0.0,30.33333333333333,0.0,1,0.3333333333333333,1.0,0.0,0.0,0.0,66.66666666666666,1.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,3.0,0.0,0.0,0.0,0.0,3,0.0,Adultas jóvenes (óptimo),🟢 Bajo,🟢 Normal (OMS: <5‰),🟢 Bajo,🟢 Bajo,🟢 Excelente cobertura,🟡 Bajo (riesgo de subutilización),🟢 Bajo,🟢 Sistema fuerte,🟢 Baja (buena capacidad)
50,245,2024,0.0,0.0,0.0,7.0,0.0,29.5,0.0,1,0.0,0.5,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2,0.0,Adultas jóvenes (óptimo),🟢 Bajo,🟢 Normal (OMS: <5‰),🟢 Bajo,🟢 Bajo,🟢 Excelente cobertura,🟡 Bajo (riesgo de subutilización),🟢 Bajo,🟢 Sistema fuerte,🟢 Baja (buena capacidad)
